Available GCP GPU Types and Locations:
- nvidia-tesla-p4 in australia-southeast1-b (Region: australia-southeast1)
- nvidia-tesla-p4 in europe-west4-b (Region: europe-west4)
- nvidia-tesla-p4 in europe-west4-c (Region: europe-west4)
- nvidia-tesla-p4 in northamerica-northeast1-a (Region: northamerica-northeast1)
- nvidia-tesla-p4 in northamerica-northeast1-b (Region: northamerica-northeast1)
- nvidia-tesla-p4 in northamerica-northeast1-c (Region: northamerica-northeast1)
- nvidia-tesla-p4 in us-central1-a (Region: us-central1)
- nvidia-tesla-p4 in us-central1-c (Region: us-central1)
- nvidia-tesla-p4 in us-east4-a (Region: us-east4)
- nvidia-tesla-p4 in us-east4-b (Region: us-east4)
- nvidia-tesla-p4 in us-east4-c (Region: us-east4)
- nvidia-tesla-p4 in us-west2-b (Region: us-west2)
- nvidia-tesla-p4 in us-west2-c (Region: us-west2)
- nvidia-tesla-t4 in asia-east1-a (Region: asia-east1)
- nvidia-tesla-t4 in asia-east1-c (Region: asia-east1)
- nvidia-tesla-t4 in asia-east2-a (Region: asia-east2)
- nvidia-tesla-t4 in asia-east2-c (Region: asia-east2)
- nvidia-tesla-t4 in asia-northeast1-a (Region: asia-northeast1)
- nvidia-tesla-t4 in asia-northeast1-c (Region: asia-northeast1)
- nvidia-tesla-t4 in asia-northeast3-b (Region: asia-northeast3)
- nvidia-tesla-t4 in asia-northeast3-c (Region: asia-northeast3)
- nvidia-tesla-t4 in asia-south1-a (Region: asia-south1)
- nvidia-tesla-t4 in asia-south1-b (Region: asia-south1)
- nvidia-tesla-t4 in asia-southeast1-a (Region: asia-southeast1)
- nvidia-tesla-t4 in asia-southeast1-b (Region: asia-southeast1)
- nvidia-tesla-t4 in asia-southeast1-c (Region: asia-southeast1)
- nvidia-tesla-t4 in asia-southeast2-a (Region: asia-southeast2)
- nvidia-tesla-t4 in asia-southeast2-b (Region: asia-southeast2)
- nvidia-tesla-t4 in australia-southeast1-a (Region: australia-southeast1)
- nvidia-tesla-t4 in australia-southeast1-c (Region: australia-southeast1)
- nvidia-tesla-t4 in europe-central2-b (Region: europe-central2)
- nvidia-tesla-t4 in europe-central2-c (Region: europe-central2)
- nvidia-tesla-t4 in europe-west1-b (Region: europe-west1)
- nvidia-tesla-t4 in europe-west1-c (Region: europe-west1)
- nvidia-tesla-t4 in europe-west1-d (Region: europe-west1)
- nvidia-tesla-t4 in europe-west2-a (Region: europe-west2)
- nvidia-tesla-t4 in europe-west2-b (Region: europe-west2)
- nvidia-tesla-t4 in europe-west3-b (Region: europe-west3)
- nvidia-tesla-t4 in europe-west4-a (Region: europe-west4)
- nvidia-tesla-t4 in europe-west4-b (Region: europe-west4)
- nvidia-tesla-t4 in europe-west4-c (Region: europe-west4)
- nvidia-tesla-t4 in me-west1-b (Region: me-west1)
- nvidia-tesla-t4 in me-west1-c (Region: me-west1)
- nvidia-tesla-t4 in northamerica-northeast1-c (Region: northamerica-northeast1)
- nvidia-tesla-t4 in southamerica-east1-a (Region: southamerica-east1)
- nvidia-tesla-t4 in southamerica-east1-c (Region: southamerica-east1)
- nvidia-tesla-t4 in us-central1-a (Region: us-central1)
- nvidia-tesla-t4 in us-central1-b (Region: us-central1)
- nvidia-tesla-t4 in us-central1-c (Region: us-central1)
- nvidia-tesla-t4 in us-central1-f (Region: us-central1)
- nvidia-tesla-t4 in us-east1-c (Region: us-east1)
- nvidia-tesla-t4 in us-east1-d (Region: us-east1)
- nvidia-tesla-t4 in us-east4-a (Region: us-east4)
- nvidia-tesla-t4 in us-east4-b (Region: us-east4)
- nvidia-tesla-t4 in us-east4-c (Region: us-east4)
- nvidia-tesla-t4 in us-west1-a (Region: us-west1)
- nvidia-tesla-t4 in us-west1-b (Region: us-west1)
- nvidia-tesla-t4 in us-west2-b (Region: us-west2)
- nvidia-tesla-t4 in us-west2-c (Region: us-west2)
- nvidia-tesla-t4 in us-west3-b (Region: us-west3)
- nvidia-tesla-t4 in us-west4-a (Region: us-west4)
- nvidia-tesla-t4 in us-west4-b (Region: us-west4)
- nvidia-tesla-v100 in asia-east1-c (Region: asia-east1)
- nvidia-tesla-v100 in europe-west4-a (Region: europe-west4)
- nvidia-tesla-v100 in europe-west4-b (Region: europe-west4)
- nvidia-tesla-v100 in europe-west4-c (Region: europe-west4)
- nvidia-tesla-v100 in us-central1-a (Region: us-central1)
- nvidia-tesla-v100 in us-central1-b (Region: us-central1)
- nvidia-tesla-v100 in us-central1-c (Region: us-central1)
- nvidia-tesla-v100 in us-central1-f (Region: us-central1)
- nvidia-tesla-v100 in us-east1-c (Region: us-east1)
- nvidia-tesla-v100 in us-west1-a (Region: us-west1)
- nvidia-tesla-v100 in us-west1-b (Region: us-west1)
